society;n_employe;city;country;command_date;n_command;product_name;total_price
Vins et alcools Chevalier;5;Reims;France;04/08/1994;10248;Singaporean Hokkien Fried Mee;490,00 F
Vins et alcools Chevalier;5;Reims;France;04/08/1994;10248;Mozzarella di Giovanni;870,00 F
Vins et alcools Chevalier;5;Reims;France;04/08/1994;10248;Queso Cabrales;840,00 F
Toms Spezialitäten;6;Münster;Allemagne;05/08/1994;10249;Tofu;837,00 F
Toms Spezialitäten;6;Münster;Allemagne;05/08/1994;10249;Manjimup Dried Apples;8 480,00 F
Hanari Carnes;4;Rio de Janeiro;Brésil;08/08/1994;10250;Jack's New England Clam Chowder;385,00 F
Hanari Carnes;4;Rio de Janeiro;Brésil;08/08/1994;10250;Manjimup Dried Apples;6 307,00 F
Hanari Carnes;4;Rio de Janeiro;Brésil;08/08/1994;10250;Louisiana Fiery Hot Pepper Sauce;1 071,00 F
Victuailles en stock;3;Lyon;France;08/08/1994;10251;Ravioli Angelo;1 111,50 F
Victuailles en stock;3;Lyon;France;08/08/1994;10251;Louisiana Fiery Hot Pepper Sauce;1 680,00 F
Suprêmes délices;4;Charleroi;Belgique;09/08/1994;10252;Camembert Pierrot;5 440,00 F
Suprêmes délices;4;Charleroi;Belgique;09/08/1994;10252;Sir Rodney's Marmalade;12 312,00 F
Hanari Carnes;3;Rio de Janeiro;Brésil;10/08/1994;10253;Chartreuse verte;3 024,00 F
Chop-suey Chinese;5;Bern;Suisse;11/08/1994;10254;Pâté chinois;1 713,60 F
Wellington Importadora;3;Resende;Brésil;15/08/1994;10256;Perth Pasties;1 965,00 F
Wellington Importadora;3;Resende;Brésil;15/08/1994;10256;Original Frankfurter grüne Soße;624,00 F
HILARIÓN-Abastos;4;San Cristóbal;Venezuela;16/08/1994;10257;Schoggi Schokolade;4 387,50 F
HILARIÓN-Abastos;4;San Cristóbal;Venezuela;16/08/1994;10257;Chartreuse verte;432,00 F
HILARIÓN-Abastos;4;San Cristóbal;Venezuela;16/08/1994;10257;Original Frankfurter grüne Soße;780,00 F
Ernst Handel;1;Graz;Autriche;17/08/1994;10258;Chang;3 040,00 F
Ernst Handel;1;Graz;Autriche;17/08/1994;10258;Chef Anton's Gumbo Mix;4 420,00 F
Ernst Handel;1;Graz;Autriche;17/08/1994;10258;Mascarpone Fabioli;614,40 F
Centro comercial Moctezuma;4;México D.F.;Mexique;18/08/1994;10259;Sir Rodney's Scones;400,00 F
Ottilies Käseladen;4;Köln;Allemagne;19/08/1994;10260;Tarte au sucre;2 216,25 F
Ottilies Käseladen;4;Köln;Allemagne;19/08/1994;10260;Jack's New England Clam Chowder;462,00 F
Ottilies Käseladen;4;Köln;Allemagne;19/08/1994;10260;Ravioli Angelo;3 900,00 F
Que Delícia;4;Rio de Janeiro;Brésil;19/08/1994;10261;Sir Rodney's Scones;800,00 F
Que Delícia;4;Rio de Janeiro;Brésil;19/08/1994;10261;Steeleye Stout;1 440,00 F
Rattlesnake Canyon Grocery;8;Albuquerque;États-Unis;22/08/1994;10262;Chef Anton's Gumbo Mix;816,00 F
Rattlesnake Canyon Grocery;8;Albuquerque;États-Unis;22/08/1994;10262;Uncle Bob's Organic Dried Pears;1 800,00 F
Ernst Handel;9;Graz;Autriche;23/08/1994;10263;Pavlova;3 127,50 F
Ernst Handel;9;Graz;Autriche;23/08/1994;10263;Nord-Ost Matjeshering;4 657,50 F
Folk och fä HB;6;Bräcke;Suède;24/08/1994;10264;Chang;2 660,00 F
Folk och fä HB;6;Bräcke;Suède;24/08/1994;10264;Jack's New England Clam Chowder;818,12 F
Wartian Herkku;3;Oulu;Finlande;26/08/1994;10266;Queso Manchego La Pastora;1 732,80 F
Frankenversand;4;München;Allemagne;29/08/1994;10267;Lakkalikööri;918,00 F
Frankenversand;4;München;Allemagne;29/08/1994;10267;Boston Crab Meat;3 675,00 F
Frankenversand;4;München;Allemagne;29/08/1994;10267;Raclette Courdavault;13 090,00 F
GROSELLA-Restaurante;8;Caracas;Venezuela;30/08/1994;10268;Thüringer Rostbratwurst;4 950,00 F
GROSELLA-Restaurante;8;Caracas;Venezuela;30/08/1994;10268;Mozzarella di Giovanni;556,00 F
White Clover Markets;5;Seattle;États-Unis;31/08/1994;10269;Mozzarella di Giovanni;2 641,00 F
Rattlesnake Canyon Grocery;6;Albuquerque;États-Unis;02/09/1994;10272;Sir Rodney's Marmalade;1 944,00 F
Rattlesnake Canyon Grocery;6;Albuquerque;États-Unis;02/09/1994;10272;Mozzarella di Giovanni;3 336,00 F
QUICK-Stop;3;Cunewalde;Allemagne;05/09/1994;10273;Boston Crab Meat;4 189,50 F
QUICK-Stop;3;Cunewalde;Allemagne;05/09/1994;10273;Lakkalikööri;2 257,20 F
Vins et alcools Chevalier;6;Reims;France;06/09/1994;10274;Mozzarella di Giovanni;973,00 F
Magazzini Alimentari Riuniti;1;Bergamo;Italie;07/09/1994;10275;Raclette Courdavault;1 254,00 F
Tortuga Restaurante;8;México D.F.;Mexique;08/09/1994;10276;Konbu;240,00 F
Morgenstern Gesundkost;2;Leipzig;Allemagne;09/09/1994;10277;Rössle Sauerkraut;3 640,00 F
Morgenstern Gesundkost;2;Leipzig;Allemagne;09/09/1994;10277;Tarte au sucre;2 364,00 F
Berglunds snabbköp;8;Luleå;Suède;12/09/1994;10278;Raclette Courdavault;3 300,00 F
Berglunds snabbköp;8;Luleå;Suède;12/09/1994;10278;Vegie-spread;1 404,00 F
Berglunds snabbköp;8;Luleå;Suède;12/09/1994;10278;Röd Kaviar;1 500,00 F
Lehmanns Marktstand;8;Frankfurt a.M.;Allemagne;13/09/1994;10279;Alice Mutton;1 755,00 F
Berglunds snabbköp;2;Luleå;Suède;14/09/1994;10280;Pâté chinois;1 920,00 F
Berglunds snabbköp;2;Luleå;Suède;14/09/1994;10280;Rhönbräu Klosterbier;930,00 F
Romero y tomillo;4;Madrid;Espagne;14/09/1994;10281;Teatime Chocolate Biscuits;36,50 F
Romero y tomillo;4;Madrid;Espagne;14/09/1994;10281;Steeleye Stout;288,00 F
Romero y tomillo;4;Madrid;Espagne;15/09/1994;10282;Ravioli Angelo;156,00 F
Romero y tomillo;4;Madrid;Espagne;15/09/1994;10282;Nord-Ost Matjeshering;621,00 F
LILA-Supermercado;3;Barquisimeto;Venezuela;16/09/1994;10283;Teatime Chocolate Biscuits;657,00 F
LILA-Supermercado;3;Barquisimeto;Venezuela;16/09/1994;10283;Camembert Pierrot;4 760,00 F
LILA-Supermercado;3;Barquisimeto;Venezuela;16/09/1994;10283;Mozzarella di Giovanni;417,00 F
Lehmanns Marktstand;4;Frankfurt a.M.;Allemagne;19/09/1994;10284;Schoggi Schokolade;1 974,37 F
Lehmanns Marktstand;4;Frankfurt a.M.;Allemagne;19/09/1994;10284;Camembert Pierrot;2 040,00 F
QUICK-Stop;1;Cunewalde;Allemagne;20/09/1994;10285;Chai;2 592,00 F
QUICK-Stop;1;Cunewalde;Allemagne;20/09/1994;10285;Boston Crab Meat;2 352,00 F
QUICK-Stop;1;Cunewalde;Allemagne;20/09/1994;10285;Perth Pasties;3 772,80 F
QUICK-Stop;8;Cunewalde;Allemagne;21/09/1994;10286;Steeleye Stout;7 200,00 F
QUICK-Stop;8;Cunewalde;Allemagne;21/09/1994;10286;Tarte au sucre;7 880,00 F
Ricardo Adocicados;8;Rio de Janeiro;Brésil;22/09/1994;10287;Pavlova;2 363,00 F
Ricardo Adocicados;8;Rio de Janeiro;Brésil;22/09/1994;10287;Sasquatch Ale;1 120,00 F
Ricardo Adocicados;8;Rio de Janeiro;Brésil;22/09/1994;10287;Spegesild;612,00 F
Reggiani Caseifici;4;Reggio Emilia;Italie;23/09/1994;10288;Tourtière;265,50 F
Reggiani Caseifici;4;Reggio Emilia;Italie;23/09/1994;10288;Scottish Longbreads;135,00 F
B's Beverages;7;London;Royaume-Uni;26/09/1994;10289;Aniseed Syrup;1 200,00 F
B's Beverages;7;London;Royaume-Uni;26/09/1994;10289;Wimmers gute Semmelknödel;1 197,00 F
Comércio Mineiro;8;São Paulo;Brésil;27/09/1994;10290;Original Frankfurter grüne Soße;520,00 F
Comércio Mineiro;8;São Paulo;Brésil;27/09/1994;10290;Chef Anton's Gumbo Mix;1 700,00 F
Comércio Mineiro;8;São Paulo;Brésil;27/09/1994;10290;Thüringer Rostbratwurst;7 425,00 F
Comércio Mineiro;8;São Paulo;Brésil;27/09/1994;10290;Maxilaku;1 200,00 F
Que Delícia;6;Rio de Janeiro;Brésil;27/09/1994;10291;Konbu;432,00 F
Que Delícia;6;Rio de Janeiro;Brésil;27/09/1994;10291;Manjimup Dried Apples;381,60 F
Tradição Hipermercados;1;São Paulo;Brésil;28/09/1994;10292;Sir Rodney's Marmalade;6 480,00 F
Tortuga Restaurante;1;México D.F.;Mexique;29/09/1994;10293;Carnarvon Tigers;3 000,00 F
Tortuga Restaurante;1;México D.F.;Mexique;29/09/1994;10293;Vegie-spread;877,50 F
Tortuga Restaurante;1;México D.F.;Mexique;29/09/1994;10293;Rhönbräu Klosterbier;186,00 F
Rattlesnake Canyon Grocery;4;Albuquerque;États-Unis;30/09/1994;10294;Chai;1 296,00 F
Rattlesnake Canyon Grocery;4;Albuquerque;États-Unis;30/09/1994;10294;Alice Mutton;2 340,00 F
Rattlesnake Canyon Grocery;4;Albuquerque;États-Unis;30/09/1994;10294;Camembert Pierrot;2 856,00 F
Rattlesnake Canyon Grocery;4;Albuquerque;États-Unis;30/09/1994;10294;Rhönbräu Klosterbier;186,00 F
LILA-Supermercado;6;Barquisimeto;Venezuela;04/10/1994;10296;Pavlova;2 085,00 F
LILA-Supermercado;6;Barquisimeto;Venezuela;04/10/1994;10296;Queso Cabrales;1 008,00 F
Blondel père et fils;5;Strasbourg;France;05/10/1994;10297;Chartreuse verte;4 320,00 F
Blondel père et fils;5;Strasbourg;France;05/10/1994;10297;Mozzarella di Giovanni;2 780,00 F
Hungry Owl All-Night Grocers;6;Cork;Irlande;06/10/1994;10298;Chang;3 040,00 F
Hungry Owl All-Night Grocers;6;Cork;Irlande;06/10/1994;10298;Raclette Courdavault;4 950,00 F
Hungry Owl All-Night Grocers;6;Cork;Irlande;06/10/1994;10298;Tarte au sucre;2 955,00 F
Ricardo Adocicados;4;Rio de Janeiro;Brésil;07/10/1994;10299;Teatime Chocolate Biscuits;547,50 F
Magazzini Alimentari Riuniti;2;Bergamo;Italie;10/10/1994;10300;Louisiana Hot Spiced Okra;2 040,00 F
Magazzini Alimentari Riuniti;2;Bergamo;Italie;10/10/1994;10300;Scottish Longbreads;1 000,00 F
Die Wandernde Kuh;8;Stuttgart;Allemagne;10/10/1994;10301;Boston Crab Meat;735,00 F
Suprêmes délices;4;Charleroi;Belgique;11/10/1994;10302;Rössle Sauerkraut;5 096,00 F
Suprêmes délices;4;Charleroi;Belgique;11/10/1994;10302;Alice Mutton;6 240,00 F
Godos Cocina Típica;7;Sevilla;Espagne;12/10/1994;10303;Boston Crab Meat;2 646,00 F
Godos Cocina Típica;7;Sevilla;Espagne;12/10/1994;10303;Louisiana Fiery Hot Pepper Sauce;2 268,00 F
Tortuga Restaurante;1;México D.F.;Mexique;13/10/1994;10304;Maxilaku;2 400,00 F
Tortuga Restaurante;1;México D.F.;Mexique;13/10/1994;10304;Raclette Courdavault;2 200,00 F
Old World Delicatessen;8;Anchorage;États-Unis;14/10/1994;10305;Carnarvon Tigers;5 625,00 F
Old World Delicatessen;8;Anchorage;États-Unis;14/10/1994;10305;Thüringer Rostbratwurst;11 137,50 F
Old World Delicatessen;8;Anchorage;États-Unis;14/10/1994;10305;Chartreuse verte;1 944,00 F
Romero y tomillo;1;Madrid;Espagne;17/10/1994;10306;Nord-Ost Matjeshering;1 035,00 F
Romero y tomillo;1;Madrid;Espagne;17/10/1994;10306;Perth Pasties;1 310,00 F
Romero y tomillo;1;Madrid;Espagne;17/10/1994;10306;Tourtière;147,50 F
Lonesome Pine Restaurant;2;Portland;États-Unis;18/10/1994;10307;Tarte au sucre;1 970,00 F
Hungry Owl All-Night Grocers;3;Cork;Irlande;20/10/1994;10309;Chef Anton's Cajun Seasoning;1 760,00 F
Hungry Owl All-Night Grocers;3;Cork;Irlande;20/10/1994;10309;Singaporean Hokkien Fried Mee;112,00 F
The Big Cheese;8;Portland;États-Unis;21/10/1994;10310;Pavlova;695,00 F
The Big Cheese;8;Portland;États-Unis;21/10/1994;10310;Tarte au sucre;985,00 F
Du monde entier;1;Nantes;France;21/10/1994;10311;Singaporean Hokkien Fried Mee;336,00 F
Die Wandernde Kuh;2;Stuttgart;Allemagne;24/10/1994;10312;Perth Pasties;2 620,00 F
Die Wandernde Kuh;2;Stuttgart;Allemagne;24/10/1994;10312;Rhönbräu Klosterbier;310,00 F
Rattlesnake Canyon Grocery;1;Albuquerque;États-Unis;26/10/1994;10314;Mascarpone Fabioli;4 608,00 F
Rattlesnake Canyon Grocery;1;Albuquerque;États-Unis;26/10/1994;10314;Tarte au sucre;4 432,50 F
Island Trading;4;Cowes;Royaume-Uni;27/10/1994;10315;Sasquatch Ale;784,00 F
Rattlesnake Canyon Grocery;1;Albuquerque;États-Unis;28/10/1994;10316;Jack's New England Clam Chowder;385,00 F
Rattlesnake Canyon Grocery;1;Albuquerque;États-Unis;28/10/1994;10316;Tarte au sucre;13 790,00 F
Lonesome Pine Restaurant;6;Portland;États-Unis;31/10/1994;10317;Chai;1 440,00 F
Island Trading;8;Cowes;Royaume-Uni;01/11/1994;10318;Jack's New England Clam Chowder;770,00 F
Island Trading;8;Cowes;Royaume-Uni;01/11/1994;10318;Lakkalikööri;432,00 F
Tortuga Restaurante;7;México D.F.;Mexique;02/11/1994;10319;Alice Mutton;1 248,00 F
Tortuga Restaurante;7;México D.F.;Mexique;02/11/1994;10319;Lakkalikööri;2 160,00 F
Island Trading;3;Cowes;Royaume-Uni;03/11/1994;10321;Steeleye Stout;720,00 F
Königlich Essen;4;Brandenburg;Allemagne;07/11/1994;10323;Chartreuse verte;288,00 F
Save-a-lot Markets;9;Boise;États-Unis;08/11/1994;10324;Vegie-spread;11 934,00 F
Save-a-lot Markets;9;Boise;États-Unis;08/11/1994;10324;Pavlova;1 240,57 F
Save-a-lot Markets;9;Boise;États-Unis;08/11/1994;10324;Steeleye Stout;4 284,00 F
Save-a-lot Markets;9;Boise;États-Unis;08/11/1994;10324;Spegesild;1 440,00 F
Save-a-lot Markets;9;Boise;États-Unis;08/11/1994;10324;Raclette Courdavault;7 480,00 F
Königlich Essen;1;Brandenburg;Allemagne;09/11/1994;10325;Mozzarella di Giovanni;5 560,00 F
Königlich Essen;1;Brandenburg;Allemagne;09/11/1994;10325;Tofu;837,00 F
Königlich Essen;1;Brandenburg;Allemagne;09/11/1994;10325;Konbu;288,00 F
Bólido Comidas preparadas;4;Madrid;Espagne;10/11/1994;10326;Chef Anton's Cajun Seasoning;2 112,00 F
Bólido Comidas preparadas;4;Madrid;Espagne;10/11/1994;10326;Ravioli Angelo;1 248,00 F
Bólido Comidas preparadas;4;Madrid;Espagne;10/11/1994;10326;Rhönbräu Klosterbier;1 550,00 F
Folk och fä HB;2;Bräcke;Suède;11/11/1994;10327;Chang;1 520,00 F
Folk och fä HB;2;Bräcke;Suède;11/11/1994;10327;Queso Cabrales;3 360,00 F
Folk och fä HB;2;Bräcke;Suède;11/11/1994;10327;Nord-Ost Matjeshering;2 898,00 F
Furia Bacalhau e Frutos do Mar;4;Lisboa;Portugal;14/11/1994;10328;Scottish Longbreads;500,00 F
Furia Bacalhau e Frutos do Mar;4;Lisboa;Portugal;14/11/1994;10328;Raclette Courdavault;1 980,00 F
Furia Bacalhau e Frutos do Mar;4;Lisboa;Portugal;14/11/1994;10328;Louisiana Fiery Hot Pepper Sauce;3 360,00 F
Split Rail Beer & Ale;4;Lander;États-Unis;15/11/1994;10329;Côte de Blaye;20 026,00 F
Split Rail Beer & Ale;4;Lander;États-Unis;15/11/1994;10329;Teatime Chocolate Biscuits;346,75 F
Split Rail Beer & Ale;4;Lander;États-Unis;15/11/1994;10329;Nord-Ost Matjeshering;786,60 F
LILA-Supermercado;3;Barquisimeto;Venezuela;16/11/1994;10330;Mozzarella di Giovanni;2 953,75 F
Bon app';9;Marseille;France;16/11/1994;10331;Tourtière;442,50 F
Mère Paillarde;3;Montréal;Canada;17/11/1994;10332;Carnarvon Tigers;8 000,00 F
Mère Paillarde;3;Montréal;Canada;17/11/1994;10332;Singaporean Hokkien Fried Mee;448,00 F
Mère Paillarde;3;Montréal;Canada;17/11/1994;10332;Zaanse koeken;486,40 F
Wartian Herkku;5;Oulu;Finlande;18/11/1994;10333;Tofu;930,00 F
Wartian Herkku;5;Oulu;Finlande;18/11/1994;10333;Sir Rodney's Scones;360,00 F
Victuailles en stock;8;Lyon;France;21/11/1994;10334;Scottish Longbreads;500,00 F
Hungry Owl All-Night Grocers;7;Cork;Irlande;22/11/1994;10335;Chang;425,60 F
Hungry Owl All-Night Grocers;7;Cork;Irlande;22/11/1994;10335;Manjimup Dried Apples;8 140,80 F
Hungry Owl All-Night Grocers;7;Cork;Irlande;22/11/1994;10335;Mascarpone Fabioli;614,40 F
Princesa Isabel Vinhos;7;Lisboa;Portugal;23/11/1994;10336;Chef Anton's Cajun Seasoning;1 425,60 F
Frankenversand;4;München;Allemagne;24/11/1994;10337;Tunnbröd;1 440,00 F
Frankenversand;4;München;Allemagne;24/11/1994;10337;Mozzarella di Giovanni;3 475,00 F
Old World Delicatessen;4;Anchorage;États-Unis;25/11/1994;10338;Nord-Ost Matjeshering;1 552,50 F
Mère Paillarde;2;Montréal;Canada;28/11/1994;10339;Chef Anton's Cajun Seasoning;880,00 F
Mère Paillarde;2;Montréal;Canada;28/11/1994;10339;Alice Mutton;10 374,00 F
Mère Paillarde;2;Montréal;Canada;28/11/1994;10339;Tarte au sucre;5 516,00 F
Bon app';1;Marseille;France;29/11/1994;10340;Jack's New England Clam Chowder;438,90 F
Bon app';1;Marseille;France;29/11/1994;10340;Carnarvon Tigers;4 750,00 F
Simons bistro;7;København;Danemark;29/11/1994;10341;Raclette Courdavault;1 683,00 F
Frankenversand;4;München;Allemagne;30/11/1994;10342;Pâté chinois;3 072,00 F
Frankenversand;4;München;Allemagne;30/11/1994;10342;Chang;1 459,20 F
Lehmanns Marktstand;4;Frankfurt a.M.;Allemagne;01/12/1994;10343;Wimmers gute Semmelknödel;6 650,00 F
Lehmanns Marktstand;4;Frankfurt a.M.;Allemagne;01/12/1994;10343;Lakkalikööri;1 080,00 F
White Clover Markets;4;Seattle;États-Unis;02/12/1994;10344;Chef Anton's Cajun Seasoning;3 080,00 F
QUICK-Stop;2;Cunewalde;Allemagne;05/12/1994;10345;Teatime Chocolate Biscuits;2 920,00 F
QUICK-Stop;2;Cunewalde;Allemagne;05/12/1994;10345;Singaporean Hokkien Fried Mee;504,00 F
Rattlesnake Canyon Grocery;3;Albuquerque;États-Unis;06/12/1994;10346;Alice Mutton;5 054,40 F
Familia Arquibaldo;4;São Paulo;Brésil;07/12/1994;10347;Rhönbräu Klosterbier;158,10 F
Familia Arquibaldo;4;São Paulo;Brésil;07/12/1994;10347;Chartreuse verte;3 060,00 F
Familia Arquibaldo;4;São Paulo;Brésil;07/12/1994;10347;Boston Crab Meat;294,00 F
Die Wandernde Kuh;4;Stuttgart;Allemagne;08/12/1994;10348;Tunnbröd;900,00 F
Die Wandernde Kuh;4;Stuttgart;Allemagne;08/12/1994;10348;Chai;918,00 F
Split Rail Beer & Ale;7;Lander;États-Unis;09/12/1994;10349;Tourtière;708,00 F
La maison d'Asie;6;Toulouse;France;12/12/1994;10350;Valkoinen suklaa;877,50 F
Ernst Handel;1;Graz;Autriche;12/12/1994;10351;Côte de Blaye;20 026,00 F
Ernst Handel;1;Graz;Autriche;12/12/1994;10351;Jack's New England Clam Chowder;500,50 F
Ernst Handel;1;Graz;Autriche;12/12/1994;10351;Louisiana Fiery Hot Pepper Sauce;798,00 F
Furia Bacalhau e Frutos do Mar;3;Lisboa;Portugal;13/12/1994;10352;Tourtière;501,50 F
Piccolo und mehr;7;Salzburg;Autriche;14/12/1994;10353;Queso Cabrales;806,40 F
Piccolo und mehr;7;Salzburg;Autriche;14/12/1994;10353;Côte de Blaye;42 160,00 F
Pericles Comidas clásicas;8;México D.F.;Mexique;15/12/1994;10354;Chai;864,00 F
Pericles Comidas clásicas;8;México D.F.;Mexique;15/12/1994;10354;Thüringer Rostbratwurst;1 980,00 F
Around the Horn;6;London;Royaume-Uni;16/12/1994;10355;Ravioli Angelo;1 950,00 F
Die Wandernde Kuh;6;Stuttgart;Allemagne;19/12/1994;10356;Pâté chinois;1 152,00 F
LILA-Supermercado;1;Barquisimeto;Venezuela;20/12/1994;10357;Camembert Pierrot;870,40 F
La maison d'Asie;5;Toulouse;France;21/12/1994;10358;Sasquatch Ale;532,00 F
Seven Seas Imports;5;London;Royaume-Uni;22/12/1994;10359;Pavlova;3 697,40 F
Seven Seas Imports;5;London;Royaume-Uni;22/12/1994;10359;Camembert Pierrot;10 336,00 F
Blondel père et fils;4;Strasbourg;France;23/12/1994;10360;Thüringer Rostbratwurst;17 325,00 F
Blondel père et fils;4;Strasbourg;France;23/12/1994;10360;Maxilaku;2 800,00 F
Blondel père et fils;4;Strasbourg;France;23/12/1994;10360;Tourtière;826,00 F
QUICK-Stop;1;Cunewalde;Allemagne;23/12/1994;10361;Camembert Pierrot;6 732,00 F
QUICK-Stop;1;Cunewalde;Allemagne;23/12/1994;10361;Chartreuse verte;3 499,20 F
Bon app';3;Marseille;France;26/12/1994;10362;Manjimup Dried Apples;4 240,00 F
Bon app';3;Marseille;France;26/12/1994;10362;Tourtière;708,00 F
Drachenblut Delikatessen;4;Aachen;Allemagne;27/12/1994;10363;Rhönbräu Klosterbier;372,00 F
Drachenblut Delikatessen;4;Aachen;Allemagne;27/12/1994;10363;Lakkalikööri;864,00 F
Antonio Moreno Taquería;3;México D.F.;Mexique;28/12/1994;10365;Queso Cabrales;2 016,00 F
Galería del gastrónomo;8;Barcelona;Espagne;29/12/1994;10366;Louisiana Fiery Hot Pepper Sauce;420,00 F
Galería del gastrónomo;8;Barcelona;Espagne;29/12/1994;10366;Original Frankfurter grüne Soße;260,00 F
Vaffeljernet;7;Århus;Danemark;29/12/1994;10367;Original Frankfurter grüne Soße;364,00 F
Vaffeljernet;7;Århus;Danemark;29/12/1994;10367;Sasquatch Ale;2 016,00 F
